기간	자치구	자동차등록대수	주차면수	주차장확보율
2011	총계	2,977,599	3,595,750	120.8
2011	종로구	52,047	89,180	171.3
2011	중구	61,378	101,128	164.8
2011	용산구	76,714	104,741	136.5
2011	성동구	87,217	105,505	121
2011	광진구	94,340	102,960	109.1
2011	동대문구	91,684	117,687	128.4
2011	중랑구	104,071	92,859	89.2
2011	성북구	116,240	140,485	120.9
2011	강북구	74,135	80,408	108.5
2011	도봉구	94,426	106,940	113.3
2011	노원구	155,244	164,838	106.2
2011	은평구	118,571	128,825	108.6
2011	서대문구	78,039	88,785	113.8
2011	마포구	111,398	137,926	123.8
2011	양천구	146,701	143,835	98
2011	강서구	179,155	206,761	115.4
2011	구로구	133,631	158,117	118.3
2011	금천구	73,986	91,695	123.9
2011	영등포구	137,992	155,484	112.7
2011	동작구	96,802	110,090	113.7
2011	관악구	119,090	134,312	112.8
2011	서초구	171,097	264,414	154.5
2011	강남구	246,455	365,321	148.2
2011	송파구	215,036	252,719	117.5
2011	강동구	142,150	150,735	106
2012	총계	2,969,184	3,584,262	120.7
2012	종로구	51,521	90,434	175.5
2012	중구	64,816	101,956	157.3
2012	용산구	76,131	105,518	138.6
2012	성동구	87,704	93,662	106.8
2012	광진구	94,696	107,426	113.4
2012	동대문구	92,373	119,585	129.5
2012	중랑구	104,019	104,194	100.2
2012	성북구	116,339	142,508	122.5
2012	강북구	74,722	78,292	104.8
2012	도봉구	93,759	104,139	111.1
2012	노원구	153,969	164,330	106.7
2012	은평구	121,614	135,342	111.3
2012	서대문구	79,020	66,906	84.7
2012	마포구	110,752	138,663	125.2
2012	양천구	146,867	145,657	99.2
2012	강서구	176,671	215,956	122.2
2012	구로구	130,554	150,103	115
2012	금천구	75,581	93,766	124.1
2012	영등포구	137,267	135,626	98.8
2012	동작구	98,689	113,831	115.3
2012	관악구	118,990	137,205	115.3
2012	서초구	172,223	271,478	157.6
2012	강남구	237,373	368,954	155.4
2012	송파구	213,658	247,890	116
2012	강동구	139,876	150,841	107.8
2013	총계	2,973,877	3,760,461	126.4
2013	종로구	50,476	86,308	171
2013	중구	57,531	106,580	185.3
2013	용산구	75,771	107,448	141.8
2013	성동구	89,596	110,199	123
2013	광진구	95,205	109,012	114.5
2013	동대문구	93,469	120,256	128.7
2013	중랑구	104,872	109,618	104.5
2013	성북구	116,282	150,535	129.5
2013	강북구	74,397	78,889	106
2013	도봉구	93,700	105,659	112.8
2013	노원구	152,927	162,377	106.2
2013	은평구	123,434	146,264	118.5
2013	서대문구	79,216	65,372	82.5
2013	마포구	111,519	164,597	147.6
2013	양천구	147,281	157,507	106.9
2013	강서구	175,911	223,968	127.3
2013	구로구	134,093	159,604	119
2013	금천구	78,934	107,473	136.2
2013	영등포구	137,169	160,221	116.8
2013	동작구	101,202	123,853	122.4
2013	관악구	118,448	139,587	117.8
2013	서초구	173,554	266,870	153.8
2013	강남구	235,143	368,420	156.7
2013	송파구	214,019	266,934	124.7
2013	강동구	139,728	162,910	116.6
2014	총계	3,013,541	3,821,527	126.8
2014	종로구	50,315	86,477	171.9
2014	중구	55,277	107,330	194.2
2014	용산구	75,450	108,234	143.5
2014	성동구	91,347	117,670	128.8
2014	광진구	94,798	117,023	123.4
2014	동대문구	95,301	121,844	127.9
2014	중랑구	107,913	117,063	108.5
2014	성북구	115,738	150,959	130.4
2014	강북구	74,554	83,745	112.3
2014	도봉구	94,430	107,822	114.2
2014	노원구	152,935	164,660	107.7
2014	은평구	124,126	148,824	119.9
2014	서대문구	79,582	61,473	77.2
2014	마포구	114,870	167,992	146.2
2014	양천구	147,457	156,364	106
2014	강서구	185,303	238,350	128.6
2014	구로구	137,199	158,927	115.8
2014	금천구	80,823	109,921	136
2014	영등포구	139,731	161,511	115.6
2014	동작구	101,536	124,347	122.5
2014	관악구	118,922	141,483	119
2014	서초구	179,331	267,147	149
2014	강남구	240,693	373,624	155.2
2014	송파구	215,990	269,954	125
2014	강동구	139,920	158,783	113.5
2015	총계	3,056,588	3,877,326	126.9
2015	종로구	49,815	86,478	173.6
2015	중구	52,988	107,313	202.5
2015	용산구	76,078	110,751	145.6
2015	성동구	95,767	116,675	121.8
2015	광진구	96,092	118,208	123
2015	동대문구	96,607	122,229	126.5
2015	중랑구	110,094	119,592	108.6
2015	성북구	116,543	149,216	128
2015	강북구	75,760	85,446	112.8
2015	도봉구	95,851	108,858	113.6
2015	노원구	154,645	165,131	106.8
2015	은평구	126,482	150,781	119.2
2015	서대문구	82,328	65,598	79.7
2015	마포구	116,917	166,646	142.5
2015	양천구	149,720	157,006	104.9
2015	강서구	191,073	240,169	125.7
2015	구로구	138,272	158,538	114.7
2015	금천구	82,684	111,803	135.2
2015	영등포구	145,778	160,643	110.2
2015	동작구	102,067	134,621	131.9
2015	관악구	120,791	143,921	119.1
2015	서초구	178,849	279,647	156.4
2015	강남구	244,784	379,400	155
2015	송파구	218,941	277,008	126.5
2015	강동구	137,662	161,648	117.4
2016	총계	3,083,007	3,983,291	129.2
2016	종로구	49,471	78,985	159.7
2016	중구	51,604	102,938	199.5
2016	용산구	75,640	102,472	135.5
2016	성동구	99,529	122,659	123.2
2016	광진구	97,045	118,742	122.4
2016	동대문구	97,333	128,517	132
2016	중랑구	112,098	120,644	107.6
2016	성북구	116,446	150,343	129.1
2016	강북구	76,844	89,323	116.2
2016	도봉구	97,059	111,205	114.6
2016	노원구	155,697	175,675	112.8
2016	은평구	127,647	157,635	123.5
2016	서대문구	84,358	115,378	136.8
2016	마포구	117,071	166,655	142.4
2016	양천구	150,208	161,764	107.7
2016	강서구	196,164	245,727	125.3
2016	구로구	140,693	156,050	110.9
2016	금천구	84,684	116,984	138.1
2016	영등포구	146,180	168,428	115.2
2016	동작구	104,176	119,103	114.3
2016	관악구	122,039	146,646	120.2
2016	서초구	179,949	279,729	155.4
2016	강남구	242,348	385,848	159.2
2016	송파구	222,514	292,077	131.3
2016	강동구	136,210	169,764	124.6
2017	총계	3,116,256	4,053,875	130.1
2017	종로구	50,828	90,099	177.3
2017	중구	51,540	99,538	193.1
2017	용산구	77,458	112,712	145.5
2017	성동구	103,116	123,306	119.6
2017	광진구	98,631	127,454	129.2
2017	동대문구	97,507	123,174	126.3
2017	중랑구	113,916	122,128	107.2
2017	성북구	117,209	155,064	132.3
2017	강북구	77,820	88,173	113.3
2017	도봉구	97,323	112,527	115.6
2017	노원구	154,708	175,553	113.5
2017	은평구	129,004	160,593	124.5
2017	서대문구	86,068	116,018	134.8
2017	마포구	116,531	167,122	143.4
2017	양천구	150,823	162,185	107.5
2017	강서구	202,063	259,917	128.6
2017	구로구	143,960	177,729	123.5
2017	금천구	86,427	121,784	140.9
2017	영등포구	146,150	171,180	117.1
2017	동작구	104,837	119,153	113.7
2017	관악구	122,103	148,454	121.6
2017	서초구	181,546	266,362	146.7
2017	강남구	238,311	390,451	163.8
2017	송파구	231,819	290,809	125.4
2017	강동구	136,558	172,390	126.2
2018	총계	3,124,651	4,129,723	132.2
2018	종로구	50,732	94,485	186.2
2018	중구	51,813	108,240	208.9
2018	용산구	77,515	113,341	146.2
2018	성동구	106,094	121,228	114.3
2018	광진구	100,552	129,859	129.1
2018	동대문구	98,324	135,626	137.9
2018	중랑구	114,022	127,195	111.6
2018	성북구	116,543	155,244	133.2
2018	강북구	77,365	89,173	115.3
2018	도봉구	97,308	112,583	115.7
2018	노원구	153,620	175,831	114.5
2018	은평구	129,647	159,015	122.7
2018	서대문구	86,753	115,993	133.7
2018	마포구	117,991	179,349	152
2018	양천구	150,521	162,040	107.7
2018	강서구	204,466	260,730	127.5
2018	구로구	144,440	178,806	123.8
2018	금천구	87,063	119,994	137.8
2018	영등포구	143,940	170,574	118.5
2018	동작구	105,476	128,893	122.2
2018	관악구	121,430	151,070	124.4
2018	서초구	182,123	277,211	152.2
2018	강남구	235,314	390,191	165.8
2018	송파구	236,179	305,199	129.2
2018	강동구	135,420	167,853	123.9
2019	총계	3,124,157	4,250,682	136.1
2019	종로구	50,052	95,350	190.5
2019	중구	51,736	107,399	207.6
2019	용산구	76,521	113,591	148.4
2019	성동구	106,263	133,724	125.8
2019	광진구	99,299	138,741	139.7
2019	동대문구	97,910	138,200	141.2
2019	중랑구	112,723	133,615	118.5
2019	성북구	119,321	156,915	131.5
2019	강북구	76,364	91,187	119.4
2019	도봉구	96,435	109,751	113.8
2019	노원구	152,071	176,629	116.1
2019	은평구	129,820	146,696	113
2019	서대문구	87,104	112,259	128.9
2019	마포구	117,907	186,203	157.9
2019	양천구	149,673	162,797	108.8
2019	강서구	204,675	262,157	128.1
2019	구로구	144,465	183,896	127.3
2019	금천구	87,581	129,455	147.8
2019	영등포구	142,010	184,322	129.8
2019	동작구	105,472	134,083	127.1
2019	관악구	120,050	152,131	126.7
2019	서초구	181,182	261,294	144.2
2019	강남구	235,415	395,951	168.2
2019	송파구	240,559	351,025	145.9
2019	강동구	139,549	193,311	138.5
