기간	자치구	합계	합계	합계	합계	합계	합계	노상	노상	노상	노상	노상	노상	노상	노상	노외	노외	노외	노외	노외	노외	노외	노외	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설
기간	자치구	계	계	공영	공영	민영	민영	계	계	요금부과별	요금부과별	운영주체별	운영주체별	운영주체별	운영주체별	계	계	시영	시영	구영	구영	민영	민영	계	계	일반주택	일반주택	공동주택	공동주택	일반건축물	일반건축물
기간	자치구	계	계	공영	공영	민영	민영	계	계	유료	유료	시영	시영	구영	구영	계	계	시영	시영	구영	구영	민영	민영	계	계	일반주택	일반주택	공동주택	공동주택	일반건축물	일반건축물
기간	자치구	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수
2012	서울시	355,212	3,584,262	13,319	207,515	341,893	3,376,747	12,533	147,712	12,533	147,712	80	5,847	12,453	141,865	2,538	122,564	61	9,961	725	49,842	1,752	62,761	340,141	3,313,986	162,887	307,441	69,672	1,685,044	107,582	1,321,501
2012	종로구	35,007	90,434	215	6,647	34,792	83,787	185	5,525	185	5,525	9	3,042	176	2,483	178	7,856	3	73	27	1,049	148	6,734	34,644	77,053	13,606	6,310	2,527	22,236	18,511	48,507
2012	중구	4,429	101,956	76	3,977	4,353	97,979	51	2,024	51	2,024	17	589	34	1,435	121	8,002	2	33	23	1,920	96	6,049	4,257	91,930	1,175	2,818	655	22,411	2,427	66,701
2012	용산구	6,838	105,518	409	6,726	6,429	98,792	378	4,229	378	4,229	3	62	375	4,167	170	6,791	4	893	27	1,604	139	4,294	6,290	94,498	2,627	9,349	1,802	47,665	1,861	37,484
2012	성동구	7,506	93,662	276	9,267	7,230	84,395	245	7,001	245	7,001	1	17	244	6,984	93	4,375	1	41	30	2,225	62	2,109	7,168	82,286	3,394	4,600	926	43,099	2,848	34,587
2012	광진구	14,304	107,426	85	6,743	14,219	100,683	20	4,292	20	4,292	1	18	19	4,274	99	3,171	-	-	65	2,451	34	720	14,185	99,963	10,120	27,727	2,631	40,298	1,434	31,938
2012	동대문구	9,666	119,585	825	7,196	8,841	112,389	796	5,097	796	5,097	2	134	794	4,963	61	3,220	2	182	27	1,917	32	1,121	8,809	111,268	3,290	10,523	3,706	68,944	1,813	31,801
2012	중랑구	30,706	104,194	548	10,351	30,158	93,843	515	8,127	515	8,127	1	61	514	8,066	70	3,261	4	575	29	1,649	37	1,037	30,121	92,806	22,101	12,988	2,521	48,415	5,499	31,403
