기간	자치구	합계	합계	합계	합계	승용차	승용차	승용차	승용차	승합차	승합차	승합차	승합차	화물차	화물차	화물차	화물차	특수차	특수차	특수차	특수차	이륜차	이륜차	이륜차
기간	자치구	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용
2017	서울시	3,116,256	12,010	2,904,867	199,379	2,641,190	4,414	2,513,827	122,949	127,564	3,399	108,141	16,024	339,921	3,830	280,548	55,543	7,581	367	2,351	4,863	450,642	4,612	446,030
2017	종로구	50,828	3,895	45,351	1,582	41,115	1,828	38,819	468	4,055	1,600	2,145	310	5,469	376	4,353	740	189	91	34	64	13,388	366	13,022
2017	중구	51,540	1,048	46,526	3,966	40,523	249	38,540	1,734	3,508	602	2,582	324	7,294	181	5,322	1,791	215	16	82	117	14,809	250	14,559
2017	용산구	77,458	361	74,806	2,291	67,335	136	66,023	1,176	2,783	53	2,654	76	7,221	161	6,062	998	119	11	67	41	16,124	198	15,926
2017	성동구	103,116	314	93,911	8,891	87,762	99	81,053	6,610	3,698	46	3,074	578	11,459	151	9,718	1,590	197	18	66	113	20,695	124	20,571
2017	광진구	98,631	272	92,789	5,570	82,951	74	79,669	3,208	4,169	40	3,456	673	11,248	153	9,642	1,453	263	5	22	236	18,451	199	18,252
2017	동대문구	97,507	315	91,753	5,439	79,837	113	76,639	3,085	4,249	57	3,996	196	13,244	135	11,058	2,051	177	10	60	107	24,145	225	23,920
2017	중랑구	113,916	201	103,948	9,767	92,596	48	86,304	6,244	5,305	34	4,711	560	15,619	103	12,860	2,656	396	16	73	307	24,268	103	24,165
2017	성북구	117,209	280	111,476	5,453	100,028	96	97,297	2,635	5,745	37	4,546	1,162	11,311	138	9,595	1,578	125	9	38	78	26,303	164	26,139
2017	강북구	77,820	286	72,787	4,747	63,987	82	61,177	2,728	4,268	50	3,478	740	9,416	136	8,095	1,185	149	18	37	94	21,922	73	21,849
2017	도봉구	97,323	244	89,581	7,498	82,048	77	76,755	5,216	4,129	39	3,662	428	10,937	122	9,106	1,709	209	6	58	145	14,677	159	14,518
2017	노원구	154,708	268	145,048	9,392	134,400	64	128,149	6,187	6,291	47	5,254	990	13,708	148	11,591	1,969	309	9	54	246	14,992	52	14,940
2017	은평구	129,004	244	121,791	6,969	109,372	84	105,154	4,134	5,745	33	4,919	793	13,636	117	11,654	1,865	251	10	64	177	20,889	107	20,782
2017	서대문구	86,068	419	80,236	5,413	73,356	179	70,190	2,987	3,646	96	3,159	391	8,764	133	6,824	1,807	302	11	63	228	14,895	162	14,733
2017	마포구	116,531	333	109,521	6,677	99,278	92	95,361	3,825	4,662	54	3,887	721	12,352	165	10,175	2,012	239	22	98	119	17,287	184	17,103
2017	양천구	150,823	326	141,772	8,725	128,605	130	123,642	4,833	5,648	54	4,768	826	16,034	134	13,250	2,650	536	8	112	416	18,618	144	18,474
2017	강서구	202,063	318	185,823	15,922	171,936	109	160,738	11,089	8,007	42	6,654	1,311	21,740	155	18,300	3,285	380	12	131	237	18,695	169	18,526
2017	구로구	143,960	272	130,153	13,535	119,141	83	109,056	10,002	6,805	50	6,043	712	17,717	131	14,922	2,664	297	8	132	157	16,254	199	16,055
2017	금천구	86,427	122	79,833	6,472	68,119	35	64,491	3,593	4,602	13	4,099	490	13,565	71	11,188	2,306	141	3	55	83	11,672	43	11,629
2017	영등포구	146,150	354	136,061	9,735	118,426	126	113,958	4,342	6,211	42	5,803	366	20,420	171	15,822	4,427	1,093	15	478	600	16,478	175	16,303
2017	동작구	104,837	299	101,735	2,803	91,607	94	90,244	1,269	3,652	50	3,472	130	9,171	142	7,926	1,103	407	13	93	301	15,059	199	14,860
2017	관악구	122,103	292	116,324	5,487	103,742	79	100,529	3,134	5,182	38	4,854	290	12,932	164	10,896	1,872	247	11	45	191	24,530	283	24,247
2017	서초구	181,546	576	168,835	12,135	158,153	243	151,930	5,980	5,524	152	4,567	805	17,532	168	12,188	5,176	337	13	150	174	14,075	287	13,788
2017	강남구	238,311	373	218,041	19,897	213,956	127	197,223	16,606	6,820	46	5,746	1,028	17,150	183	14,876	2,091	385	17	196	172	16,714	346	16,368
2017	송파구	231,819	343	218,914	12,562	197,661	89	191,009	6,563	7,680	88	6,036	1,556	26,162	157	21,779	4,226	316	9	90	217	19,194	244	18,950
2017	강동구	136,558	255	127,852	8,451	115,256	78	109,877	5,301	5,180	36	4,576	568	15,820	135	13,346	2,339	302	6	53	243	16,496	157	16,339
2017	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	-	12
