기간	자치구	합계	합계	합계	합계	합계	합계	노상	노상	노상	노상	노상	노상	노외	노외	노외	노외	노외	노외	노외	노외	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설
기간	자치구	계	계	공영	공영	민영	민영	계	계	시영	시영	구영	구영	계	계	시영	시영	구영	구영	민영	민영	계	계	일반주택	일반주택	공동주택	공동주택	일반건축물	일반건축물
기간	자치구	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수
2017	서울시	308,025	4,053,875	9,509	199,834	298,516	3,854,041	8,576	128,496	77	2,276	8,499	126,220	1,977	112,782	65	15,366	868	55,972	1,044	41,444	297,472	3,812,597	131,393	305,238	81,398	2,073,558	84,681	1,433,801
2017	종로구	7,220	90,099	181	6,494	7,039	83,605	148	2,719	10	392	138	2,327	103	5,925	6	2,718	27	1,057	70	2,150	6,969	81,455	2,864	6,552	1,546	22,176	2,559	52,727
2017	중구	4,152	99,538	178	5,622	3,974	93,916	151	1,702	21	422	130	1,280	94	6,926	4	2,006	23	1,914	67	3,006	3,907	90,910	946	2,546	665	24,613	2,296	63,751
2017	용산구	7,291	112,712	397	6,551	6,894	106,161	362	3,803	2	21	360	3,782	75	3,825	4	856	31	1,892	40	1,077	6,854	105,084	2,767	7,163	2,051	58,848	2,036	39,073
2017	성동구	6,658	123,306	292	8,565	6,366	114,741	264	6,138	2	57	262	6,081	65	3,599	-	-	28	2,427	37	1,172	6,329	113,569	2,930	5,961	865	66,485	2,534	41,123
2017	광진구	16,304	127,454	404	6,139	15,900	121,315	359	3,649	1	18	358	3,631	70	3,338	-	-	45	2,490	25	848	15,875	120,467	8,653	21,826	3,552	55,349	3,670	43,292
2017	동대문구	9,485	123,174	64	6,776	9,421	116,398	30	4,503	2	134	28	4,369	57	3,149	2	159	32	2,114	23	876	9,398	115,522	4,119	8,740	1,414	57,239	3,865	49,543
2017	중랑구	12,170	122,128	566	12,148	11,604	109,980	525	8,348	1	63	524	8,285	81	5,336	2	417	39	3,383	40	1,536	11,564	108,444	5,928	12,258	2,908	66,533	2,728	29,653
2017	성북구	13,038	155,064	192	7,861	12,846	147,203	125	6,062	1	26	124	6,036	154	3,975	1	21	66	1,778	87	2,176	12,759	145,027	6,124	15,146	2,946	90,723	3,689	39,158
2017	강북구	10,528	88,173	62	5,527	10,466	82,646	23	3,281	1	20	22	3,261	59	3,019	-	-	39	2,246	20	773	10,446	81,873	5,165	10,495	3,244	52,296	2,037	19,082
2017	도봉구	9,593	112,527	501	6,136	9,092	106,391	460	3,636	-	-	460	3,636	61	3,064	4	1,137	37	1,363	20	564	9,072	105,827	4,256	10,113	2,852	71,277	1,964	24,437
2017	노원구	6,612	175,553	180	3,758	6,432	171,795	154	2,354	2	122	152	2,232	45	3,031	4	401	22	1,003	19	1,627	6,413	170,168	2,399	7,613	1,687	121,441	2,327	41,114
