기간,자치구,계,20세미만,청년층,중장년층,노년층
2014,종로구,156993,24957,45737,61923,24376
2014,중구,128065,18358,39087,50880,19740
2014,용산구,235951,38310,72219,90851,34571
2014,성동구,296086,50574,95248,113700,36564
2014,광진구,363354,63127,123893,137526,38808
2014,동대문구,363687,59901,114166,138864,50756
2014,중랑구,418836,70802,128004,168111,51919
2014,성북구,466706,85242,140897,178638,61929
2014,강북구,335025,55928,95778,132564,50755
2014,도봉구,353709,64597,100137,142537,46438
2014,노원구,582552,122707,164112,229322,66411
2014,은평구,498644,92176,147035,192569,66864
2014,서대문구,310376,52569,94746,118079,44982
2014,마포구,385439,67846,131086,139411,47096
2014,양천구,486221,105421,135575,197157,48068
2014,강서구,585160,109377,190318,221348,64117
2014,구로구,425831,77904,136297,161015,50615
2014,금천구,238463,38957,73756,96507,29243
2014,영등포구,382352,63335,124316,145517,49184
2014,동작구,407470,68807,138497,148019,52147
2014,관악구,513186,75328,195294,180313,62251
2014,서초구,449678,94755,139009,168568,47346
2014,강남구,578114,114727,187518,218578,57291
2014,송파구,664738,132594,211387,255866,64891
2014,강동구,476597,90206,147505,188719,50167
2015,종로구,154986,23803,45098,61333,24752
2015,중구,125733,17284,38275,50093,20081
2015,용산구,233342,36811,70638,90541,35352
2015,성동구,297003,49313,94866,114799,38025
2015,광진구,360369,60372,122351,137441,40205
2015,동대문구,360153,57318,111998,138506,52331
2015,중랑구,413909,67193,125017,167678,54021
2015,성북구,459275,82109,136411,177623,63132
2015,강북구,330873,52942,92998,132430,52503
2015,도봉구,351242,61691,98356,142642,48553
2015,노원구,574583,117087,159999,228654,68843
2015,은평구,497920,88922,145224,194164,69610
2015,서대문구,312141,51655,94987,119082,46417
2015,마포구,387643,66331,131412,141552,48348
2015,양천구,484532,102357,134564,197329,50282
2015,강서구,589074,106381,190861,224040,67792
2015,구로구,422092,75158,132729,161059,53146
2015,금천구,236284,37080,72178,96281,30745
2015,영등포구,378504,60531,122927,144207,50839
2015,동작구,400641,65836,134256,147124,53425
2015,관악구,509663,71840,192934,180212,64677
2015,서초구,446764,92595,136215,168783,49171
2015,강남구,576495,112915,184146,219243,60191
2015,송파구,660302,127687,207894,256574,68147
2015,강동구,458658,83878,139140,183792,51848
2016,종로구,152737,22585,44333,60869,24950
2016,중구,125249,16650,38184,50027,20388
2016,용산구,230241,35158,69448,90088,35547
2016,성동구,299259,48083,95682,116354,39140
2016,광진구,357215,57482,121258,137183,41292
2016,동대문구,355069,54508,109441,137819,53301
2016,중랑구,411005,63937,123469,167757,55842
2016,성북구,450355,78494,131558,176425,63878
2016,강북구,327195,49982,90832,132417,53964
2016,도봉구,348220,58796,96133,142825,50466
2016,노원구,567581,111875,156929,227958,70819
2016,은평구,491476,84642,141195,194335,71304
2016,서대문구,314194,50537,95337,121017,47303
2016,마포구,379892,63509,127897,140426,48060
2016,양천구,477739,98278,131503,196001,51957
2016,강서구,595485,104261,192884,227451,70889
2016,구로구,417551,71810,128841,161741,55159
2016,금천구,235386,35360,71323,96727,31976
2016,영등포구,370613,57558,120136,141733,51186
2016,동작구,400997,63821,133589,148535,55052
2016,관악구,506851,68028,192261,179903,66659
2016,서초구,447192,90611,134071,171604,50906
2016,강남구,567115,108570,177897,218826,61822
2016,송파구,657831,122817,206243,257853,70918
2016,강동구,444168,78167,133231,179649,53121
2017,종로구,154770,21981,45340,61419,26030
2017,중구,125709,16056,38497,50008,21148
2017,용산구,229161,33318,70009,89346,36488
2017,성동구,304808,47291,98336,118029,41152
2017,광진구,357703,55087,121747,137079,43790
2017,동대문구,350647,51608,107293,136199,55547
2017,중랑구,408226,60572,121767,166698,59189
2017,성북구,444055,75354,128328,174252,66121
2017,강북구,324479,47267,89383,131392,56437
2017,도봉구,344166,55198,93909,141614,53445
2017,노원구,554403,105227,151416,223582,74178
2017,은평구,486794,80354,138420,193620,74400
2017,서대문구,312800,48677,94398,120827,48898
2017,마포구,374915,60716,125812,139031,49356
2017,양천구,471154,94124,128108,193786,55136
2017,강서구,601691,100950,195988,228908,75845
2017,구로구,410742,67981,124153,160395,58213
2017,금천구,235154,33715,71375,96222,33842
2017,영등포구,368550,55009,119858,140384,53299
2017,동작구,396217,60988,130899,147259,57071
2017,관악구,503297,63898,192344,177326,69729
2017,서초구,441102,87400,129997,170586,53119
2017,강남구,556164,104370,171037,215811,64946
2017,송파구,664496,120844,208350,258860,76442
2017,강동구,436223,75133,129540,175470,56080
2018,종로구,153065,20971,44996,60526,26572
2018,중구,125725,15290,39037,49648,21750
2018,용산구,228999,31855,70800,89132,37212
2018,성동구,308221,46046,100256,119290,42629
2018,광진구,355559,52416,121703,136008,45432
2018,동대문구,348052,49429,107078,134554,56991
2018,중랑구,403209,56882,119667,164912,61748
2018,성북구,435868,71409,125598,171215,67646
2018,강북구,319164,44182,87288,129591,58103
2018,도봉구,339413,51883,91627,139977,55926
2018,노원구,543752,98591,147747,220382,77032
2018,은평구,483197,76304,137179,192451,77263
2018,서대문구,310313,46693,93953,119622,50045
2018,마포구,375077,58694,126524,139315,50544
2018,양천구,464185,89893,124770,191581,57941
2018,강서구,596949,96161,194095,227248,79445
2018,구로구,404497,64017,120717,158658,61105
2018,금천구,233917,31573,71802,95188,35354
2018,영등포구,367778,52415,121754,138703,54906
2018,동작구,396203,58343,131277,147318,59265
2018,관악구,501957,59724,195488,174857,71888
2018,서초구,433951,84399,126320,168569,54663
2018,강남구,542364,100207,164159,211041,66957
2018,송파구,666635,117093,209280,259051,81211
2018,강동구,427573,71019,125445,172440,58669
2019,종로구,151290,19959,43948,60065,27318
2019,중구,126171,14697,39135,49365,22974
2019,용산구,228670,30523,70870,88931,38346
2019,성동구,300889,43418,96949,116726,43796
2019,광진구,351350,49230,119926,134513,47681
2019,동대문구,346194,47342,106486,133196,59170
2019,중랑구,397015,53244,115773,162933,65065
2019,성북구,442650,70096,128311,173544,70699
2019,강북구,313954,41080,84385,128015,60474
2019,도봉구,333362,48396,88298,138004,58664
2019,노원구,532905,92613,141911,217527,80854
2019,은평구,480032,72390,135651,191424,80567
2019,서대문구,309397,45010,93515,119227,51645
2019,마포구,374035,56287,126381,139263,52104
2019,양천구,458165,85739,120799,190480,61147
2019,강서구,591796,91410,190496,226051,83839
2019,구로구,406664,62080,120306,159346,64932
2019,금천구,232810,29551,71907,94156,37196
2019,영등포구,367678,50306,122641,137774,56957
2019,동작구,395963,56047,130543,147379,61994
2019,관악구,500094,55797,196245,173265,74787
2019,서초구,430826,81964,123233,168593,57036
2019,강남구,545169,99155,161589,213529,70896
2019,송파구,675961,115307,210536,262936,87182
2019,강동구,436067,70623,126748,175355,63341
2020,종로구,144865,19158,43059,57050,25593
2020,중구,121519,14054,38455,47132,21875
2020,용산구,219403,29579,70032,84617,35172
2020,성동구,291841,41715,94647,112545,42929
2020,광진구,343783,47253,118569,130532,47424
2020,동대문구,337801,45751,105549,128370,58126
2020,중랑구,390233,51424,114132,159037,65634
2020,성북구,432206,67861,126467,168362,69510
2020,강북구,305511,39298,82269,123850,60090
2020,도봉구,325050,46265,85629,133994,59156
2020,노원구,522235,89302,138918,212425,81586
2020,은평구,471906,70214,134475,187216,79995
2020,서대문구,304074,44250,93507,115866,50445
2020,마포구,365392,54538,125015,135184,50649
2020,양천구,450971,83896,118256,186816,61999
2020,강서구,579138,87642,187061,219976,84454
2020,구로구,400914,60097,118713,156295,65805
2020,금천구,228342,28293,71698,91221,37124
2020,영등포구,366258,50062,124512,135384,56294
2020,동작구,387858,54092,128782,143476,61503
2020,관악구,489798,53220,194638,167518,74418
2020,서초구,419614,80300,119305,163803,56201
2020,강남구,530126,97002,156051,207063,70005
2020,송파구,662838,112291,205914,256767,87859
2020,강동구,441732,72003,129059,175643,65022
