,자치구,문화시설수,상업시설수,유흥시설수,시설합계,인구,인구대비시설,스케일링
0,강남구,86,31321,3849,35256,547453,0.06440004895397414,0.15160756052700164
1,강동구,13,13134,1973,15120,431920,0.035006482681978146,0.04135255318335375
2,강북구,11,8215,1609,9835,322915,0.030456931390613628,0.024287226492539934
3,강서구,7,16880,2622,19509,603611,0.03232048455048036,0.031277397927509276
4,관악구,4,11791,2179,13974,520040,0.026871009922313668,0.010836466752717835
5,광진구,29,11872,2153,14054,371063,0.03787497001856827,0.052112223834894236
6,구로구,17,18041,1930,19988,438486,0.04558412355240532,0.08102919061671353
7,금천구,12,13176,1276,14464,254021,0.056940174237563035,0.12362563638654082
8,노원구,15,11209,1922,13146,548160,0.023982049036777583,0.0
9,도봉구,11,7206,1299,8516,341649,0.024926166913996527,0.0035413778145463454
10,동대문구,8,16836,1668,18512,364338,0.05080996217797759,0.10063126512198124
11,동작구,6,10012,1632,11650,409385,0.02845732012653126,0.016786702310964616
12,마포구,68,17883,2206,20157,386359,0.052171684883748015,0.10573907495816874
13,서대문구,26,9469,1207,10702,323080,0.03312492261978457,0.0342948380168783
14,서초구,60,21405,2753,24218,438163,0.055271668306087006,0.11736708538168796
15,성동구,18,12229,1212,13459,316463,0.04252945842009966,0.06957116869864448
16,성북구,27,10702,1581,12310,447687,0.02749688956793474,0.013184135772721553
17,송파구,29,23309,3458,26796,673507,0.03978577802457881,0.05927964778017132
18,양천구,8,11287,1936,13231,468145,0.02826261094319068,0.016056349884843932
19,영등포구,19,19295,2527,21841,403600,0.05411546085232904,0.11303016143971918
20,용산구,28,12448,928,13404,245090,0.054690113835733814,0.11518567970242506
21,은평구,6,10777,1763,12546,487666,0.025726624369958127,0.006543886658442771
22,종로구,333,24151,1951,26435,163026,0.16215204936635874,0.5182744502671514
23,중구,69,38130,1213,39412,135633,0.29057825160543527,1.0
24,중랑구,4,10431,1982,12417,408147,0.03042286235106469,0.024159433826250312
