기간	행정자치구	횡단보도수	횡단보도수	횡단보도수	도로연장	도로연장(km당)횡단보도수
기간	행정자치구	계	신호등있는횡단보도	신호등없는횡단보도	도로연장	도로연장(km당)횡단보도수
2010	계	26,695	8,556	18,139	8,142	3.28
2010	종로구	814	251	563	274	2.97
2010	중구	1,100	241	859	114	9.61
2010	용산구	836	242	594	280	2.99
2010	성동구	853	263	590	408	2.09
2010	광진구	784	233	551	324	2.42
2010	동대문구	1,024	355	669	324	3.16
2010	중랑구	923	319	604	323	2.85
2010	성북구	1,348	338	1,010	627	2.15
2010	강북구	746	283	463	226	3.3
2010	도봉구	786	331	455	256	3.07
2010	노원구	1,084	528	556	291	3.72
2010	은평구	1,061	336	725	332	3.2
2010	서대문구	868	227	641	309	2.81
2010	마포구	1,250	420	830	419	2.98
2010	양천구	971	408	563	398	2.44
2010	강서구	1,267	449	818	378	3.36
2010	구로구	1,136	353	783	287	3.96
2010	금천구	557	231	326	180	3.1
2010	영등포구	1,614	577	1,037	388	4.17
2010	동작구	754	177	577	243	3.1
2010	관악구	670	262	408	316	2.12
2010	서초구	1,481	381	1,100	377	3.92
2010	강남구	2,195	499	1,696	423	5.19
2010	송파구	1,379	512	867	361	3.82
2010	강동구	1,194	340	854	283	4.22
2011	계	28,004	8,830	19,174	8,148	3.44
2011	종로구	873	252	621	274	3.18
2011	중구	1,158	262	896	114	10.12
2011	용산구	888	257	631	280	3.17
2011	성동구	884	273	611	408	2.17
2011	광진구	810	239	571	324	2.5
2011	동대문구	1,052	358	694	326	3.23
2011	중랑구	975	345	630	323	3.01
2011	성북구	1,400	349	1,051	627	2.23
2011	강북구	805	299	506	227	3.55
2011	도봉구	762	333	429	256	2.98
2011	노원구	1,137	540	597	291	3.9
2011	은평구	1,099	376	723	332	3.31
2011	서대문구	890	242	648	309	2.88
2011	마포구	1,305	457	848	420	3.11
2011	양천구	1,096	406	690	398	2.75
2011	강서구	1,318	453	865	378	3.49
2011	구로구	1,308	352	956	287	4.55
2011	금천구	624	240	384	180	3.47
2011	영등포구	1,659	591	1,068	388	4.28
2011	동작구	799	181	618	243	3.28
2011	관악구	687	265	422	316	2.17
2011	서초구	1,494	389	1,105	377	3.96
2011	강남구	2,285	498	1,787	423	5.4
2011	송파구	1,449	530	919	361	4.01
2011	강동구	1,247	343	904	283	4.4
2012	계	29,717	9,470	20,247	8,174	3.64
2012	종로구	945	268	677	274	3.44
2012	중구	1,190	276	914	114	10.4
2012	용산구	867	264	603	280	3.09
2012	성동구	888	282	606	408	2.18
2012	광진구	870	250	620	324	2.69
2012	동대문구	1,099	368	731	326	3.37
2012	중랑구	1,014	379	635	324	3.13
2012	성북구	1,470	372	1,098	627	2.34
2012	강북구	878	311	567	227	3.87
2012	도봉구	821	338	483	256	3.2
2012	노원구	1,205	562	643	291	4.14
2012	은평구	1,225	402	823	333	3.68
2012	서대문구	927	247	680	309	3
2012	마포구	1,394	494	900	420	3.32
2012	양천구	1,197	420	777	404	2.96
2012	강서구	1,458	482	976	378	3.86
2012	구로구	1,371	399	972	293	4.68
2012	금천구	657	266	391	180	3.65
2012	영등포구	1,703	622	1,081	388	4.39
2012	동작구	836	219	617	245	3.41
2012	관악구	721	319	402	316	2.28
2012	서초구	1,613	404	1,209	377	4.27
2012	강남구	2,454	520	1,934	433	5.67
2012	송파구	1,549	581	968	363	4.27
2012	강동구	1,365	425	940	284	4.81
2013	계	32,251	8,514	23,737	8,195	3.94
2013	종로구	967	244	723	274	3.53
2013	중구	1,282	240	1,042	114	11.25
2013	용산구	948	212	736	280	3.39
2013	성동구	983	277	706	408	2.41
2013	광진구	923	250	673	324	2.85
2013	동대문구	1,164	375	789	326	3.57
2013	중랑구	1,223	373	850	324	3.77
2013	성북구	1,575	360	1,215	627	2.51
2013	강북구	913	285	628	227	4.02
2013	도봉구	882	315	567	257	3.43
2013	노원구	1,336	536	800	291	4.59
2013	은평구	1,278	342	936	351	3.64
2013	서대문구	1,001	180	821	309	3.24
2013	마포구	1,547	440	1,107	420	3.68
2013	양천구	1,400	359	1,041	403	3.47
2013	강서구	1,547	356	1,191	378	4.09
2013	구로구	1,443	328	1,115	293	4.92
2013	금천구	765	188	577	180	4.25
2013	영등포구	1,861	530	1,331	388	4.8
2013	동작구	945	176	769	247	3.83
2013	관악구	817	310	507	316	2.59
2013	서초구	1,805	340	1,465	379	4.76
2013	강남구	2,516	512	2,004	432	5.82
2013	송파구	1,688	558	1,130	363	4.65
2013	강동구	1,442	428	1,014	284	5.08
2014	계	32,392	8,960	23,432	8,188	3.96
2014	종로구	977	253	724	274	3.57
2014	중구	1,295	236	1,059	114	11.36
2014	용산구	954	225	729	280	3.41
2014	성동구	992	284	708	408	2.43
2014	광진구	928	251	677	324	2.86
2014	동대문구	1,155	383	772	327	3.53
2014	중랑구	1,236	376	860	331	3.73
2014	성북구	1,584	372	1,212	627	2.53
2014	강북구	913	278	635	227	4.02
2014	도봉구	887	316	571	257	3.45
2014	노원구	1,337	532	805	288	4.64
2014	은평구	1,288	370	918	352	3.66
2014	서대문구	1,018	221	797	309	3.29
2014	마포구	1,585	428	1,157	420	3.77
2014	양천구	1,397	375	1,022	403	3.47
2014	강서구	1,547	449	1,098	375	4.13
2014	구로구	1,468	397	1,071	293	5.01
2014	금천구	763	236	527	177	4.31
2014	영등포구	1,864	585	1,279	389	4.79
2014	동작구	944	205	739	247	3.82
2014	관악구	814	268	546	316	2.58
2014	서초구	1,796	392	1,404	375	4.79
2014	강남구	2,499	535	1,964	432	5.78
2014	송파구	1,715	566	1,149	361	4.75
2014	강동구	1,436	427	1,009	282	5.09
2015	계	32,673	9,698	22,975	8,189	3.99
2015	종로구	980	262	718	274	3.57
2015	중구	1,293	247	1,046	114	11.32
2015	용산구	961	267	694	280	3.43
2015	성동구	1,008	287	721	408	2.47
2015	광진구	928	252	676	324	2.87
2015	동대문구	1,158	388	770	327	3.54
2015	중랑구	1,238	373	865	331	3.74
2015	성북구	1,618	386	1,232	627	2.58
2015	강북구	912	288	624	227	4.02
2015	도봉구	886	324	562	257	3.45
2015	노원구	1,345	542	803	288	4.67
2015	은평구	1,289	421	868	352	3.67
2015	서대문구	1,021	240	781	308	3.32
2015	마포구	1,643	500	1,143	420	3.91
2015	양천구	1,399	482	917	403	3.47
2015	강서구	1,566	541	1,025	375	4.18
2015	구로구	1,475	431	1,044	293	5.03
2015	금천구	766	262	504	177	4.33
2015	영등포구	1,875	632	1,243	389	4.82
2015	동작구	965	220	745	247	3.9
2015	관악구	819	316	503	316	2.59
2015	서초구	1,795	447	1,348	375	4.79
2015	강남구	2,539	571	1,968	433	5.86
2015	송파구	1,757	588	1,169	361	4.87
2015	강동구	1,437	431	1,006	282	5.1
2016	계	33,684	10,042	23,642	8,214	4.1
2016	종로구	987	275	712	275	3.6
2016	중구	1,298	263	1,035	114	11.36
2016	용산구	987	273	714	280	3.52
2016	성동구	1,083	300	783	408	2.65
2016	광진구	967	259	708	324	2.99
2016	동대문구	1,256	401	855	327	3.84
2016	중랑구	1,269	398	871	331	3.83
2016	성북구	1,688	394	1,294	627	2.69
2016	강북구	1,002	302	700	227	4.42
2016	도봉구	931	323	608	257	3.62
2016	노원구	1,356	563	793	288	4.71
