기간	지역	발생건수	자동차 1만대당 발생건수	사망자수	인구 10만명당 사망자수	부상자수	인구 10만명당 부상자수
2010	합계	41,662	122.8	429	4.1	59,718	564.7
2010	종로구	1,436	229.6	19	10.6	2,009	1,120.1
2010	중구	1,540	202.1	7	5	2,152	1,524.1
2010	용산구	1,245	136.8	15	5.8	1,738	675.9
2010	성동구	1,097	103.3	15	4.7	1,528	482.2
2010	광진구	1,540	139.7	17	4.4	2,212	569
2010	동대문구	1,834	162.1	25	6.6	2,484	654.8
2010	중랑구	2,080	164.3	17	3.9	2,841	657.2
2010	성북구	1,611	114.8	10	2	2,197	441.4
2010	강북구	1,293	137.4	16	4.6	1,780	508.6
2010	도봉구	975	90.7	11	3	1,362	367.4
2010	노원구	1,683	99.2	25	4.1	2,434	395.5
2010	은평구	1,514	112.2	16	3.2	2,120	430.1
2010	서대문구	1,141	122.1	15	4.5	1,719	514.9
2010	마포구	1,726	136.4	22	5.5	2,697	673.5
2010	양천구	1,463	89.9	12	2.4	2,070	409.7
2010	강서구	1,872	95.1	21	3.6	2,594	446.9
2010	구로구	1,568	103.5	14	3.1	2,270	501.5
2010	금천구	1,123	135.5	12	4.5	1,702	643.4
2010	영등포구	2,253	141.7	30	6.7	3,348	751.3
2010	동작구	1,131	102.3	13	3.1	1,594	385.2
2010	관악구	1,851	131.3	16	2.9	2,632	478.8
2010	서초구	2,152	119.2	20	4.5	3,372	766.3
2010	강남구	3,551	131.9	31	5.4	5,176	896.9
2010	송파구	2,573	112	16	2.3	3,742	539.9
2010	강동구	1,410	90.7	14	2.8	1,945	391.4
2011	합계	40,451	119.4	435	4.1	57,625	547.3
2011	종로구	1,421	219	14	7.9	1,994	1,123.9
2011	중구	1,497	199.4	13	9.2	2,025	1,430.4
2011	용산구	1,170	126.9	9	3.5	1,704	657.2
2011	성동구	1,154	109	21	6.8	1,603	519.2
2011	광진구	1,430	128	23	5.9	2,033	525.8
2011	동대문구	1,777	155.8	13	3.4	2,431	642.2
2011	중랑구	1,782	140.7	12	2.8	2,386	556.6
2011	성북구	1,569	111.2	22	4.4	2,103	425.3
2011	강북구	1,174	124.1	7	2	1,648	472.6
2011	도봉구	933	86.2	15	4.1	1,279	347.6
2011	노원구	1,529	90.5	14	2.3	2,231	366.9
2011	은평구	1,509	109.7	20	4	2,058	413
2011	서대문구	1,061	115.7	14	4.3	1,496	461
2011	마포구	1,623	127	23	5.8	2,530	634.7
2011	양천구	1,444	88.7	14	2.8	2,006	396.8
2011	강서구	1,885	96.6	16	2.8	2,740	475.8
2011	구로구	1,542	105	15	3.3	2,226	485.1
2011	금천구	1,125	133.5	10	3.8	1,649	624
2011	영등포구	2,310	150.3	28	6.4	3,326	756.7
2011	동작구	1,192	107.6	13	3.1	1,676	405.2
2011	관악구	1,737	123.3	17	3.1	2,396	438.5
2011	서초구	2,048	112.8	17	3.9	3,189	726.4
2011	강남구	3,562	136.1	36	6.3	5,184	904.7
2011	송파구	2,554	110.4	36	5.2	3,632	526
2011	강동구	1,423	89.9	13	2.6	2,080	415.6
2012	합계	40,829	119.6	424	4.1	58,583	561
2012	종로구	1,374	211.1	12	6.9	1,994	1,151.6
2012	중구	1,458	183.7	12	8.5	2,018	1,433.2
2012	용산구	1,203	130	11	4.3	1,809	708.6
2012	성동구	986	91.6	6	2	1,400	456.2
2012	광진구	1,494	131.9	17	4.4	2,190	569.9
2012	동대문구	1,881	161.8	20	5.3	2,511	668.4
2012	중랑구	1,753	136.7	11	2.6	2,401	566.7
2012	성북구	1,572	110.1	11	2.2	2,055	418.8
2012	강북구	1,212	125.6	9	2.6	1,680	484.9
2012	도봉구	983	90.6	16	4.4	1,294	355.1
2012	노원구	1,623	96	13	2.2	2,330	387.8
2012	은평구	1,519	106.6	21	4.2	2,197	434.3
2012	서대문구	1,041	111.1	13	4	1,645	506.6
2012	마포구	1,561	121.6	23	5.8	2,363	600.4
2012	양천구	1,418	86.2	14	2.8	2,036	406.8
2012	강서구	1,767	90.9	25	4.4	2,573	448.4
2012	구로구	1,582	108.6	21	4.6	2,366	520.6
2012	금천구	1,017	116.8	21	8.1	1,540	590.6
2012	영등포구	2,179	140.9	32	7.5	3,206	751
2012	동작구	1,258	110.3	14	3.4	1,707	410.1
2012	관악구	1,713	119.9	20	3.7	2,299	425.3
2012	서초구	2,090	113.1	25	5.7	3,214	730.5
2012	강남구	3,843	151.4	25	4.4	5,666	994
2012	송파구	2,844	123.1	14	2.1	4,060	596.9
2012	강동구	1,458	92.8	18	3.7	2,029	411.8
2013	합계	39,439	115.2	378	3.6	56,761	546.4
2013	종로구	1,274	198.7	13	7.7	1,770	1,054.4
2013	중구	1,442	199.7	10	7.2	1,975	1,431.3
2013	용산구	1,391	150.6	13	5.2	2,023	803
2013	성동구	1,100	100.3	8	2.6	1,458	475.6
2013	광진구	1,303	114.3	10	2.6	1,916	502.3
2013	동대문구	1,970	167.5	16	4.3	2,524	670.5
2013	중랑구	1,716	132.5	9	2.1	2,369	562.4
2013	성북구	1,536	107.4	9	1.9	2,149	442.8
2013	강북구	1,107	115	10	2.9	1,525	446
2013	도봉구	934	85.9	8	2.2	1,259	349.1
2013	노원구	1,522	90.5	13	2.2	2,175	366.1
2013	은평구	1,270	87.8	10	2	1,716	337.7
2013	서대문구	1,081	115	14	4.3	1,578	486.9
2013	마포구	1,747	135.1	23	5.9	2,732	698.5
2013	양천구	1,340	81.2	14	2.8	1,905	383.4
2013	강서구	1,715	88.4	26	4.5	2,517	437.6
2013	구로구	1,415	94.6	19	4.2	2,165	478.8
2013	금천구	939	103.7	10	3.9	1,419	549.5
