기간	대분류	분류	종합	주거지역	서울도심(시내)
2010	서울시	서울시	5.97	6.12	5.81
2010	성별	남자	6.02	6.16	5.87
2010	성별	여자	5.92	6.08	5.76
2010	연령별	10대	6.11	6.21	6.01
2010	연령별	20대	5.98	6.11	5.84
2010	연령별	30대	5.91	6.05	5.77
2010	연령별	40대	5.94	6.08	5.79
2010	연령별	50대	6	6.16	5.84
2010	연령별	60대 이상	5.96	6.16	5.76
2010	학력별	중졸 이하	5.94	6.09	5.79
2010	학력별	고졸 이하	5.94	6.06	5.81
2010	학력별	전문대 이하	5.91	6.01	5.81
2010	학력별	4년제 이하	6.08	6.3	5.86
2010	학력별	대학원 이상	5.77	6.1	5.44
2010	소득별	100 만원 미만	5.86	6.04	5.69
2010	소득별	100-200만 미만	5.92	6.13	5.7
2010	소득별	200-300만 미만	5.89	6.02	5.76
2010	소득별	300-400만 미만	5.95	6.06	5.84
2010	소득별	400-500만 미만	6.09	6.25	5.94
2010	소득별	500만 이상	6.01	6.18	5.84
2010	혼인상태별	기혼	5.98	6.12	5.84
2010	혼인상태별	미혼	5.98	6.13	5.83
2010	혼인상태별	이혼/별거	5.81	5.97	5.65
2010	혼인상태별	사별	5.86	6.08	5.63
2010	지역대분류	도심권	5.8	5.78	5.81
2010	지역대분류	동북권	5.82	5.93	5.71
2010	지역대분류	서북권	5.85	6.05	5.65
2010	지역대분류	서남권	6.06	6.24	5.88
2010	지역대분류	동남권	6.17	6.36	5.97
2010	종로구	종로구	5.77	5.81	5.73
2010	중구	중구	6.06	6.26	5.86
2010	용산구	용산구	5.69	5.53	5.85
2010	성동구	성동구	6.25	6.08	6.42
2010	광진구	광진구	5.41	5.54	5.28
2010	동대문구	동대문구	5.98	6.16	5.81
2010	중랑구	중랑구	5.97	5.85	6.08
2010	성북구	성북구	5.88	5.94	5.82
2010	강북구	강북구	5.64	5.77	5.52
2010	도봉구	도봉구	5.81	6.11	5.51
2010	노원구	노원구	5.73	6	5.47
2010	은평구	은평구	6.01	6.13	5.88
2010	서대문구	서대문구	5.89	6.29	5.5
2010	마포구	마포구	5.61	5.72	5.5
2010	양천구	양천구	5.98	6.21	5.75
2010	강서구	강서구	5.49	5.73	5.24
2010	구로구	구로구	6.47	6.64	6.29
2010	금천구	금천구	5.37	5.44	5.29
2010	영등포구	영등포구	6.52	6.65	6.4
2010	동작구	동작구	6.37	6.62	6.12
2010	관악구	관악구	6.13	6.23	6.03
2010	서초구	서초구	6.37	6.55	6.2
2010	강남구	강남구	6.02	6.41	5.62
2010	송파구	송파구	6.03	6.18	5.88
2010	강동구	강동구	6.38	6.41	6.35
