기간	대분류	분류	종합	주거지역	서울도심(시내)
2012	서울시	서울시	6.17	6.3	6.05
2012	성별	남자	6.17	6.3	6.04
2012	성별	여자	6.18	6.3	6.05
2012	연령별	10대	6.14	6.29	5.99
2012	연령별	20대	6.14	6.25	6.03
2012	연령별	30대	6.16	6.28	6.03
2012	연령별	40대	6.18	6.31	6.05
2012	연령별	50대	6.22	6.34	6.1
2012	연령별	60대 이상	6.18	6.31	6.05
2012	학력별	중졸 이하	6.14	6.28	6.01
2012	학력별	고졸 이하	6.19	6.31	6.07
2012	학력별	대졸 이하	6.18	6.31	6.06
2012	학력별	대학원 이상	5.86	6	5.71
2012	소득별	100 만원 미만	6.26	6.31	6.2
2012	소득별	100-200만 미만	6.13	6.17	6.08
2012	소득별	200-300만 미만	6.15	6.23	6.06
2012	소득별	300-400만 미만	6.18	6.33	6.02
2012	소득별	400-500만 미만	6.22	6.33	6.11
2012	소득별	500만 이상	6.16	6.33	5.98
2012	혼인상태별	기혼	6.19	6.33	6.06
2012	혼인상태별	미혼	6.14	6.25	6.02
2012	혼인상태별	이혼/별거	6.26	6.38	6.14
2012	혼인상태별	사별	6.1	6.22	5.97
2012	지역대분류	도심권	6.13	6.17	6.09
2012	지역대분류	동북권	5.95	6.03	5.87
2012	지역대분류	서북권	5.98	6.28	5.68
2012	지역대분류	서남권	6.36	6.45	6.28
2012	지역대분류	동남권	6.39	6.57	6.2
2012	종로구	종로구	6.05	5.85	6.25
2012	중구	중구	6.45	6.57	6.33
2012	용산구	용산구	6.01	6.17	5.84
2012	성동구	성동구	5.53	5.58	5.47
2012	광진구	광진구	5.9	6.19	5.62
2012	동대문구	동대문구	5.82	5.87	5.77
2012	중랑구	중랑구	5.61	5.72	5.5
2012	성북구	성북구	5.88	5.84	5.93
2012	강북구	강북구	6.15	6.22	6.09
2012	도봉구	도봉구	6.48	6.59	6.37
2012	노원구	노원구	6.11	6.16	6.07
2012	은평구	은평구	5.84	6.26	5.42
2012	서대문구	서대문구	6.34	6.51	6.17
2012	마포구	마포구	5.87	6.12	5.62
2012	양천구	양천구	6.28	6.3	6.26
2012	강서구	강서구	6.43	6.5	6.35
2012	구로구	구로구	6.16	6.28	6.03
2012	금천구	금천구	6.42	6.43	6.41
2012	영등포구	영등포구	6.57	6.63	6.52
2012	동작구	동작구	6.66	6.72	6.61
2012	관악구	관악구	6.11	6.31	5.9
2012	서초구	서초구	6.47	6.79	6.15
2012	강남구	강남구	6.52	6.64	6.41
2012	송파구	송파구	6.57	6.73	6.4
2012	강동구	강동구	5.9	6.08	5.72
