기간	대분류	분류	종합	주거지역	서울도심(시내)	밤늦은 야간보행
2017	서울시	서울시	5.95	6.17	5.99	5.68
2017	성별	남자	6	6.19	6.02	5.79
2017	성별	여자	5.9	6.16	5.95	5.57
2017	연령별	10대	6.01	6.28	6.07	5.68
2017	연령별	20대	6	6.21	6.04	5.75
2017	연령별	30대	5.98	6.17	6.03	5.74
2017	연령별	40대	5.9	6.14	5.97	5.61
2017	연령별	50대	5.92	6.17	5.95	5.64
2017	연령별	60대 이상	5.92	6.15	5.94	5.67
2017	학력별	중졸 이하	5.88	6.07	5.91	5.65
2017	학력별	고졸 이하	5.94	6.18	5.97	5.67
2017	학력별	대졸 이하	5.98	6.2	6.03	5.7
2017	학력별	대학원 이상	5.7	5.88	5.74	5.49
2017	소득별	100 만원 미만	5.96	6.07	5.97	5.84
2017	소득별	100-200만 미만	5.94	6.13	5.94	5.77
2017	소득별	200-300만 미만	6	6.18	6.02	5.79
2017	소득별	300-400만 미만	5.94	6.2	5.99	5.63
2017	소득별	400-500만 미만	5.95	6.18	5.98	5.68
2017	소득별	500만 이상	5.93	6.17	5.99	5.62
2017	혼인상태별	기혼	5.92	6.16	5.96	5.64
2017	혼인상태별	미혼	6.03	6.24	6.07	5.77
2017	혼인상태별	이혼/별거	5.87	6.02	5.86	5.73
2017	혼인상태별	사별	5.86	6.07	5.89	5.63
2017	지역대분류	도심권	5.84	6.06	5.86	5.59
2017	지역대분류	동북권	5.88	6.09	5.93	5.62
2017	지역대분류	서북권	5.84	6.06	5.93	5.53
2017	지역대분류	서남권	5.94	6.19	5.95	5.69
2017	지역대분류	동남권	6.14	6.37	6.2	5.86
2017	종로구	종로구	5.85	6.05	5.88	5.62
2017	중구	중구	5.95	6.12	6.04	5.67
2017	용산구	용산구	5.77	6.04	5.75	5.53
2017	성동구	성동구	5.79	5.94	5.91	5.53
2017	광진구	광진구	5.8	5.99	5.96	5.45
2017	동대문구	동대문구	6.02	6.19	6.12	5.74
2017	중랑구	중랑구	5.85	6.08	5.87	5.62
2017	성북구	성북구	5.87	6.18	5.89	5.53
2017	강북구	강북구	6.15	6.32	6.31	5.83
2017	도봉구	도봉구	5.7	5.94	5.73	5.44
2017	노원구	노원구	5.85	6.05	5.75	5.75
2017	은평구	은평구	5.99	6.08	6.07	5.83
2017	서대문구	서대문구	5.85	6.21	5.97	5.38
2017	마포구	마포구	5.64	5.91	5.73	5.28
2017	양천구	양천구	5.7	5.97	5.64	5.47
2017	강서구	강서구	5.74	5.95	5.73	5.54
2017	구로구	구로구	6.05	6.3	6.07	5.77
2017	금천구	금천구	5.71	5.98	5.67	5.48
2017	영등포구	영등포구	6.13	6.26	6.22	5.9
2017	동작구	동작구	6.14	6.38	6.12	5.92
2017	관악구	관악구	6.14	6.47	6.2	5.77
2017	서초구	서초구	6.13	6.35	6.08	5.96
2017	강남구	강남구	6.23	6.57	6.18	5.93
2017	송파구	송파구	6.07	6.22	6.27	5.71
2017	강동구	강동구	6.15	6.34	6.21	5.91
